id,computables,concurridas,porcentaje
80218,128,95,74.21
80191,128,48,37.5
80190,128,113,88.28
80225,128,80,62.5
80217,128,22,17.18
80224,128,20,15.62
80216,128,55,42.96
80248,128,57,44.53
80263,128,46,35.93
80229,128,33,25.78
80235,128,30,23.43
80226,128,45,35.15
80227,128,31,24.21
80228,128,54,42.18
80252,128,52,40.62
80272,128,65,50.78
80273,128,71,55.46
80274,128,31,24.21
80275,128,50,39.06
80277,128,36,28.12
80299,128,35,27.34
80161,128,15,11.71
80232,128,33,25.78
80258,128,27,21.09
80260,128,37,28.9
80172,128,41,32.03
80271,128,43,33.59
80280,128,87,67.96
80285,128,60,46.87
80286,128,34,26.56
80297,128,25,19.53
80300,128,23,17.96
80301,128,76,59.37
80306,128,49,38.28
80307,128,97,75.78
80308,128,114,89.06
80309,128,78,60.93
80312,128,42,32.81
80316,128,70,54.68
80317,128,66,51.56
80318,128,15,11.71
80319,128,103,80.46
80321,128,63,49.21
80322,128,24,18.75
80326,128,52,40.62
80327,128,65,50.78
80328,128,53,41.4
80329,128,42,32.81
80330,128,98,76.56
80331,128,55,42.96
80332,128,48,37.5
80334,128,56,43.75
80335,128,20,15.62
80336,128,51,39.84
80338,128,50,39.06
80220,32,23,71.87
80207,32,9,28.12
80182,32,5,15.62
80221,32,20,62.5
80236,32,23,71.87
80219,32,21,65.62
80238,32,11,34.37
80241,32,29,90.62
80269,32,15,46.87
80292,32,12,37.5
80302,32,25,78.12
80310,32,13,40.62
80313,32,26,81.25
80315,32,26,81.25
80320,32,29,90.62
80333,32,1,3.12















